Hamilton standard 3 blades AF140 CLi0.500;;;;
theta;J;ct;cp;eff
10;0;0.128228702;0.048206279;0
10;0.214218668;0.101517627;0.048326602;0.45
10;0.23929056;0.096323743;0.046098725;0.5
10;0.280317292;0.08829402;0.045000619;0.55
10;0.3350196;0.078640376;0.043910112;0.6
10;0.387442646;0.069954437;0.041697434;0.65
15;0;0.183857973;0.086318297;0
15;0.214218668;0.157214207;0.084195545;0.4
15;0.250686874;0.14916101;0.083094905;0.45
15;0.284875817;0.143910073;0.081992999;0.5
15;0.323623286;0.13557429;0.079772722;0.55
15;0.369208543;0.124214905;0.07643534;0.6
15;0.412514538;0.116944816;0.074217595;0.65
15;0.462658321;0.107245282;0.070882746;0.7
15;0.542432521;0.087219252;0.063080745;0.75
15;0.569783676;0.08116965;0.060854134;0.76
15;0.642720087;0.061902919;0.053048333;0.75
15;0.699701659;0.045252953;0.045233666;0.7
15;0.733890602;0.03610876;0.040769046;0.65
20;0;0.2226;0.14;0
20;0.2;0.201097759;0.134065173;0.3
20;0.235254237;0.197335409;0.132639975;0.35
20;0.273446328;0.191944665;0.131216409;0.4
20;0.308700565;0.18919967;0.129791211;0.45
20;0.343954802;0.186603025;0.128366013;0.5
20;0.388022599;0.178914386;0.126223318;0.55
20;0.432090395;0.172298146;0.124080624;0.6
20;0.487909605;0.16149373;0.121222065;0.65
20;0.546666667;0.147865048;0.115475562;0.7
20;0.620112994;0.129227631;0.106847644;0.75
20;0.696497175;0.111158034;0.096776571;0.8
20;0.717062147;0.104436475;0.092453633;0.81
20;0.743502825;0.097201847;0.088133961;0.82
20;0.808135593;0.080168201;0.078056357;0.83
20;0.916836158;0.0505126;0.057889723;0.8
20;0.952090395;0.039926911;0.050685371;0.75
20;0.978531073;0.033168072;0.046365698;0.7
20;0.996158192;0.026489388;0.04059634;0.65
25;0;0.249452611;0.21881808;0
25;0.226440678;0.223797374;0.202707317;0.25
25;0.267570621;0.224871088;0.200562989;0.3
25;0.311638418;0.220411173;0.196253112;0.35
25;0.352768362;0.22091684;0.194831179;0.4
25;0.393898305;0.219305351;0.191964458;0.45
25;0.437966102;0.215883567;0.189099369;0.5
25;0.484971751;0.211207666;0.186235912;0.55
25;0.531977401;0.205190296;0.181927667;0.6
25;0.590734463;0.19385657;0.176181164;0.65
25;0.658305085;0.181234649;0.170439559;0.7
25;0.740564972;0.162414936;0.16037175;0.75
25;0.834576271;0.139928356;0.145976107;0.8
25;0.896271186;0.125090397;0.135896871;0.825
25;0.978531073;0.103026214;0.11860512;0.85
25;1.028474576;0.089534665;0.107074566;0.86
25;1.113672316;0.06598626;0.085450083;0.86
25;1.137175141;0.05956109;0.079683989;0.85
25;1.204745763;0.041425554;0.062384076;0.8
25;1.225310734;0.034654281;0.05661635;0.75
25;1.242937853;0.028636101;0.050846991;0.7
25;1.257627119;0.024790834;0.047965577;0.65
30;0;0.259887351;0.295326535;0
30;0.239661017;0.237289496;0.28434521;0.2
30;0.299887006;0.234662635;0.2814891;0.25
30;0.349830508;0.238939088;0.278627276;0.3
30;0.408587571;0.236227505;0.27577035;0.35
30;0.45559322;0.238337265;0.271462105;0.4
30;0.505536723;0.237806605;0.267155493;0.45
30;0.555480226;0.236596073;0.26284888;0.5
30;0.605423729;0.2335614;0.257097479;0.55
30;0.664180791;0.228367729;0.252795765;0.6
30;0.731751412;0.218169843;0.245609371;0.65
30;0.802259887;0.206773238;0.236979821;0.7
30;0.887457627;0.190546159;0.225468857;0.75
30;0.999096045;0.165548563;0.206748643;0.8
30;1.066666667;0.149879113;0.193783095;0.825
30;1.148926554;0.12950312;0.175046556;0.85
30;1.187118644;0.119499988;0.16495426;0.86
30;1.228248588;0.10969386;0.154863596;0.87
