Hamilton standard 3 blades AF140 CLi0.500;;;;
theta;J;ct;cp;eff
30;0;0.259887351;0.295326535;0
30;0.239661017;0.237289496;0.28434521;0.2
30;0.299887006;0.234662635;0.2814891;0.25
30;0.349830508;0.238939088;0.278627276;0.3
30;0.408587571;0.236227505;0.27577035;0.35
30;0.45559322;0.238337265;0.271462105;0.4
30;0.505536723;0.237806605;0.267155493;0.45
30;0.555480226;0.236596073;0.26284888;0.5
30;0.605423729;0.2335614;0.257097479;0.55
30;0.664180791;0.228367729;0.252795765;0.6
30;0.731751412;0.218169843;0.245609371;0.65
30;0.802259887;0.206773238;0.236979821;0.7
30;0.887457627;0.190546159;0.225468857;0.75
30;0.999096045;0.165548563;0.206748643;0.8
30;1.066666667;0.149879113;0.193783095;0.825
30;1.148926554;0.12950312;0.175046556;0.85
30;1.187118644;0.119499988;0.16495426;0.86
30;1.228248588;0.10969386;0.154863596;0.87
30;1.313446328;0.086365294;0.128904748;0.88
30;1.392768362;0.066559888;0.106554605;0.87
30;1.41039548;0.06101413;0.100062852;0.86
30;1.422146893;0.057219662;0.095735017;0.85
30;1.48;0.040540541;0.075;0.8
30;1.51;0.034768212;0.07;0.75
30;1.53;0.030882353;0.0675;0.7
30;1.54;0.02637987;0.0625;0.65
