# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
2

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,WingGeom,0,BHZHSWJEGT,0,0,1,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 7.663087941776407952e+00, 0.000000000000000000e+00, -6.090261359111167616e-01, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,8,13
# x,y,z,u,w
8.767319041776303834e+00, 0.000000000000000000e+00, -6.090261359111167616e-01, 1.000000000000000000e+00, 0.000000000000000000e+00
8.585824040368839505e+00, 0.000000000000000000e+00, -6.335391852627405562e-01, 1.000000000000000000e+00, 3.277268016080053803e-01
8.382699739673828532e+00, 0.000000000000000000e+00, -6.544905374989338220e-01, 1.000000000000000000e+00, 6.890353749767987868e-01
8.172207202063280107e+00, 0.000000000000000000e+00, -6.700069551304669302e-01, 1.000000000000000000e+00, 1.062495082539003377e+00
7.970753746982825128e+00, 0.000000000000000000e+00, -6.751833774130746590e-01, 1.000000000000000000e+00, 1.419108220573553236e+00
7.792828417084845860e+00, 0.000000000000000000e+00, -6.637220946840411973e-01, 1.000000000000000000e+00, 1.734778715789790260e+00
7.663087941776407952e+00, 0.000000000000000000e+00, -6.090261359111167616e-01, 1.000000000000000000e+00, 2.000000000000000000e+00
7.792828417084847636e+00, 0.000000000000000000e+00, -5.543301771381925480e-01, 1.000000000000000000e+00, 2.265221284210209518e+00
7.970753746982826016e+00, 0.000000000000000000e+00, -5.428688944091586421e-01, 1.000000000000000000e+00, 2.580891779426446764e+00
8.172207202063280107e+00, 0.000000000000000000e+00, -5.480453166917667041e-01, 1.000000000000000000e+00, 2.937504917460996623e+00
8.382699739673828532e+00, 0.000000000000000000e+00, -5.635617343232997012e-01, 1.000000000000000000e+00, 3.310964625023200991e+00
8.585824040368841281e+00, 0.000000000000000000e+00, -5.845130865594930780e-01, 1.000000000000000000e+00, 3.672273198391994509e+00
8.767319041776303834e+00, 0.000000000000000000e+00, -6.090261359111167616e-01, 1.000000000000000000e+00, 4.000000000000000000e+00
8.794349975864632185e+00, 2.874944542499727751e-01, -6.090261359111167616e-01, 1.142857142857142794e+00, 0.000000000000000000e+00
8.618040545925952145e+00, 2.874944542499727751e-01, -6.328388124241227652e-01, 1.142857142857142794e+00, 3.277268016080053803e-01
8.420719796679369651e+00, 2.874944542499727751e-01, -6.531915545964247505e-01, 1.142857142857142794e+00, 6.890353749767987868e-01
8.216241331571980666e+00, 2.874944542499727751e-01, -6.682646460099139762e-01, 1.142857142857142794e+00, 1.062495082539003377e+00
8.020543699341018851e+00, 2.874944542499727751e-01, -6.732930863576901404e-01, 1.142857142857142794e+00, 1.419108220573553236e+00
7.847701940450073188e+00, 2.874944542499727751e-01, -6.621593530048147658e-01, 1.142857142857142794e+00, 1.734778715789790260e+00
7.721668335864732668e+00, 2.874944542499727751e-01, -6.090261359111167616e-01, 1.142857142857142794e+00, 2.000000000000000000e+00
7.847701940450074076e+00, 2.874944542499727751e-01, -5.558929188174189795e-01, 1.142857142857142794e+00, 2.265221284210209518e+00
8.020543699341018851e+00, 2.874944542499727751e-01, -5.447591854645432718e-01, 1.142857142857142794e+00, 2.580891779426446764e+00
8.216241331571980666e+00, 2.874944542499727751e-01, -5.497876258123195470e-01, 1.142857142857142794e+00, 2.937504917460996623e+00
8.420719796679369651e+00, 2.874944542499727751e-01, -5.648607172258087727e-01, 1.142857142857142794e+00, 3.310964625023200991e+00
