,0
cl_0_wing,0.14278493907475304
cl_X_wing,1.0973635877711685
cl_alpha_wing,5.469332778360589
cm_0_wing,-0.027558856152131588
y_vector_wing,"[0.03327, 0.09982, 0.16636, 0.23291, 0.29945, 0.36599, 0.43254, 0.49908, 0.56563, 0.66882, 0.80938, 0.95058, 1.09237, 1.23469, 1.37751, 1.52076, 1.66439, 1.80835, 1.95259, 2.09705, 2.24167, 2.38641, 2.5312, 2.676, 2.82074, 2.96537, 3.10985, 3.2541, 3.39809, 3.54174, 3.68502, 3.82787, 3.97024, 4.11207, 4.25332, 4.39393, 4.53385, 4.67305, 4.81147, 4.94906, 5.08578, 5.2216, 5.35646, 5.49032, 5.62315, 5.75491, 5.88556, 6.01506, 6.14339, 6.27051]"
area_vector_wing,"[0.06861, 0.06861, 0.06861, 0.06861, 0.06861, 0.06861, 0.06861, 0.06861, 0.06861, 0.14334, 0.14153, 0.13963, 0.13765, 0.1356, 0.13346, 0.13126, 0.12899, 0.12665, 0.12424, 0.12178, 0.11927, 0.1167, 0.11409, 0.11143, 0.10873, 0.106, 0.10323, 0.10044, 0.09763, 0.09479, 0.09195, 0.08909, 0.08623, 0.08336, 0.08049, 0.07764, 0.07479, 0.07195, 0.06913, 0.06633, 0.06356, 0.06081, 0.05809, 0.0554, 0.05275, 0.05014, 0.04757, 0.04505, 0.04257, 0.04014]"
cl_vector_wing,"[1.026632530781443, 1.0209503957129853, 1.0210506097353567, 1.0227943337246188, 1.0275544997872599, 1.0250090636190266, 1.0119912621129834, 1.0070406894078368, 1.011039228900455, 1.0194972923886003, 1.0277950134409513, 1.0337276835653373, 1.042957395025742, 1.054882863687937, 1.0673194238642263, 1.0780723884646761, 1.082451741242306, 1.0911402969819053, 1.0965217899832487, 1.1044487191528256, 1.109609741304952, 1.1176469058991372, 1.1239303251018231, 1.129031218840527, 1.1303841081425405, 1.134673268300036, 1.1359259435796782, 1.1407161738490306, 1.143411931050821, 1.1485228461917616, 1.1530424986007113, 1.1577525576521666, 1.1601376513846056, 1.16292360120653, 1.1641261694749867, 1.1682750300011624, 1.171291472074541, 1.1751697547403137, 1.1810723606579885, 1.18754618650318, 1.1952326020190656, 1.1962948706562022, 1.1930379149291321, 1.1931481503537407, 1.1885182625201827, 1.1768232861094416, 1.1466288011689425, 1.0927838069487958, 0.9829492384297551, 0.7679500748341803]"
cl_vector_wing_0,"[0.1347577958828049, 0.13461749625148495, 0.13466760326267063, 0.13489809551412485, 0.13545929403940463, 0.13529895160361038, 0.13412644754186515, 0.13379574126803956, 0.13417655455305086, 0.13508850215663049, 0.13570982909533308, 0.13649149846982989, 0.13743351028012096, 0.13856592873291762, 0.1396181759678172, 0.1406002733870568, 0.1413318357503679, 0.1421235265271019, 0.14268472505238167, 0.14333611619779565, 0.14399752874544683, 0.1446388984886237, 0.14529028963403773, 0.14558091029891476, 0.14575127413694614, 0.14615213022643167, 0.1465730291203915, 0.14695384240540277, 0.14710416343895985, 0.14761525495305391, 0.14832677451189077, 0.14861739517676778, 0.14863743798124207, 0.1489781656573048, 0.14952934278034744, 0.14993019886983297, 0.15008051990339005, 0.15058159001524699, 0.1514935376188266, 0.15211486455752923, 0.15307691917229455, 0.1532172188036145, 0.1532472830103259, 0.1532773472170373, 0.15333747563046016, 0.15214492876424066, 0.1499602630765444, 0.14456874867296374, 0.1337756984635653, 0.11186891317317996]"
chord_vector_wing,"[1.02693, 1.02693, 1.02693, 1.02693, 1.02693, 1.02693, 1.02693, 1.02693, 1.02693, 1.01814, 1.00052, 0.98282, 0.96505, 0.94721, 0.92931, 0.91136, 0.89335, 0.87531, 0.85723, 0.83912, 0.82099, 0.80285, 0.7847, 0.76655, 0.74841, 0.73028, 0.71217, 0.69409, 0.67604, 0.65804, 0.64008, 0.62217, 0.60432, 0.58655, 0.56884, 0.55122, 0.53368, 0.51623, 0.49888, 0.48163, 0.46449, 0.44747, 0.43057, 0.41379, 0.39714, 0.38062, 0.36424, 0.34801, 0.33192, 0.31599]"
coeff_k_wing,0.022294491345739163
cl_0_htp,-0.0089
cl_X_htp,0.2529
cl_alpha_htp,1.5000035076524953
cl_alpha_htp_isolated,2.053746988766741
cl_0_htp_isolated,0.0
